#,Name,Message,Event Title,Date,Time,Location
241,Ben,can we do brainstorm bash a bit later? maybe 19:00?,Brainstorm Bash,"March 9, 2025",18:00,Seminar Room B
242,Grace,is TechBlock 4 still on at final touch meeting or changed?,Final Touch Meeting,"March 25, 2025",15:00,TechBlock 4
243,Isla,capstone sync-up happening tmr or pushed?,Capstone Sync-Up,"March 20, 2025",09:00,Courtyard Benches
244,Jay,"yo, what time was project check-in again?",Project Check-In,"March 26, 2025",14:00,Courtyard Benches
245,Haruto,we still on for the final touch meeting tmr?,Final Touch Meeting,"March 25, 2025",13:00,Innovation Lab 2
246,Carlos,hey! still good for Seminar Room B at final touch meeting?,Final Touch Meeting,"March 24, 2025",12:00,Seminar Room B
247,Carlos,"i’ll be a lil late for the study jam, save me a spot!",Study Jam,"March 27, 2025",09:00,Seminar Room B
248,Elena,is Library Level 3 still on at study jam or changed?,Study Jam,"March 21, 2025",15:00,Library Level 3
249,Ben,hey! still good for Innovation Lab 2 at final touch meeting?,Final Touch Meeting,"March 22, 2025",17:00,Innovation Lab 2
250,Jay,meeting at Courtyard Benches for the club hangout right?,Club Hangout,"March 13, 2025",17:00,Courtyard Benches
251,Carlos,we still on for the capstone sync-up tmr?,Capstone Sync-Up,"March 18, 2025",12:00,Main Atrium
252,Jay,is Main Atrium still on at final touch meeting or changed?,Final Touch Meeting,"March 20, 2025",16:00,Main Atrium
253,Haruto,is BrewPoint Café still on at capstone sync-up or changed?,Capstone Sync-Up,"March 23, 2025",18:00,BrewPoint Café
254,Ben,"i’ll be a lil late for the midterm review, save me a spot!",Midterm Review,"March 8, 2025",20:00,Innovation Lab 2
255,Carlos,we still on for the assignment sprint tmr?,Assignment Sprint,"March 14, 2025",20:00,Library Level 3
256,Elena,just a heads up—can we move final touch meeting to 15:00 instead?,Final Touch Meeting,"March 21, 2025",13:00,Science Hub
257,Jay,"i’ll be a lil late for the assignment sprint, save me a spot!",Assignment Sprint,"March 22, 2025",18:00,TechBlock 4
258,Carlos,"i’ll be a lil late for the final touch meeting, save me a spot!",Final Touch Meeting,"March 22, 2025",18:00,Courtyard Benches
259,Diana,final touch meeting happening tmr or pushed?,Final Touch Meeting,"March 16, 2025",20:00,Library Level 3
260,Jay,just a heads up—can we move group research meet to 11:00 instead?,Group Research Meet,"March 19, 2025",09:00,Main Atrium
261,Farhan,"i’ll be a lil late for the study jam, save me a spot!",Study Jam,"March 26, 2025",19:00,BrewPoint Café
262,Farhan,let’s meet up by Science Hub for the final touch meeting,Final Touch Meeting,"March 27, 2025",11:00,Science Hub
263,Haruto,"i’ll be a lil late for the midterm review, save me a spot!",Midterm Review,"March 29, 2025",19:00,Courtyard Benches
264,Aisha,just a heads up—can we move group research meet to 11:00 instead?,Group Research Meet,"March 19, 2025",09:00,Innovation Lab 2
265,Grace,we still on for the capstone sync-up tmr?,Capstone Sync-Up,"March 18, 2025",09:00,BrewPoint Café
266,Elena,meeting at Innovation Lab 2 for the midterm review right?,Midterm Review,"March 20, 2025",09:00,Innovation Lab 2
267,Farhan,let’s meet up by Courtyard Benches for the group research meet,Group Research Meet,"March 11, 2025",12:00,Courtyard Benches
268,Ben,meeting at Main Atrium for the project check-in right?,Project Check-In,"March 16, 2025",10:00,Main Atrium
269,Diana,just a heads up—can we move club hangout to 15:00 instead?,Club Hangout,"March 9, 2025",14:00,Seminar Room B
270,Aisha,we still on for the club hangout tmr?,Club Hangout,"March 10, 2025",17:00,Science Hub
271,Farhan,just a heads up—can we move project check-in to 12:00 instead?,Project Check-In,"March 11, 2025",11:00,Main Atrium
272,Haruto,"i’ll be a lil late for the project check-in, save me a spot!",Project Check-In,"March 20, 2025",17:00,Innovation Lab 2
273,Haruto,can we do group research meet a bit later? maybe 13:00?,Group Research Meet,"March 19, 2025",11:00,BrewPoint Café
274,Aisha,"i’ll be a lil late for the project check-in, save me a spot!",Project Check-In,"March 15, 2025",09:00,Science Hub
275,Ben,hey! still good for BrewPoint Café at group research meet?,Group Research Meet,"March 23, 2025",12:00,BrewPoint Café
276,Farhan,"i’ll be a lil late for the group research meet, save me a spot!",Group Research Meet,"March 23, 2025",13:00,BrewPoint Café
277,Farhan,"i’ll be a lil late for the midterm review, save me a spot!",Midterm Review,"March 30, 2025",12:00,Innovation Lab 2
278,Grace,meeting at Library Level 3 for the club hangout right?,Club Hangout,"March 30, 2025",15:00,Library Level 3
279,Ben,"i’ll be a lil late for the assignment sprint, save me a spot!",Assignment Sprint,"March 24, 2025",13:00,Seminar Room B
280,Elena,hey! still good for Main Atrium at club hangout?,Club Hangout,"March 29, 2025",17:00,Main Atrium
281,Grace,let’s meet up by BrewPoint Café for the group research meet,Group Research Meet,"March 26, 2025",19:00,BrewPoint Café
282,Aisha,hey! still good for Science Hub at project check-in?,Project Check-In,"March 28, 2025",17:00,Science Hub
283,Diana,we still on for the group research meet tmr?,Group Research Meet,"March 8, 2025",16:00,Main Atrium
284,Aisha,assignment sprint happening tmr or pushed?,Assignment Sprint,"March 20, 2025",17:00,Science Hub
285,Aisha,let’s meet up by TechBlock 4 for the study jam,Study Jam,"March 19, 2025",12:00,TechBlock 4
286,Grace,hey! still good for Courtyard Benches at assignment sprint?,Assignment Sprint,"March 28, 2025",14:00,Courtyard Benches
287,Isla,can we do midterm review a bit later? maybe 13:00?,Midterm Review,"March 25, 2025",11:00,Innovation Lab 2
288,Isla,"i’ll be a lil late for the club hangout, save me a spot!",Club Hangout,"March 26, 2025",13:00,TechBlock 4
289,Jay,we still on for the assignment sprint tmr?,Assignment Sprint,"March 8, 2025",10:00,Main Atrium
290,Carlos,assignment sprint happening tmr or pushed?,Assignment Sprint,"March 12, 2025",09:00,Science Hub
291,Isla,let’s meet up by Innovation Lab 2 for the study jam,Study Jam,"March 31, 2025",15:00,Innovation Lab 2
292,Elena,is BrewPoint Café still on at capstone sync-up or changed?,Capstone Sync-Up,"March 25, 2025",18:00,BrewPoint Café
293,Isla,just a heads up—can we move club hangout to 17:00 instead?,Club Hangout,"March 26, 2025",16:00,Innovation Lab 2
294,Farhan,study jam happening tmr or pushed?,Study Jam,"March 24, 2025",13:00,Main Atrium
295,Aisha,is Science Hub still on at capstone sync-up or changed?,Capstone Sync-Up,"March 21, 2025",13:00,Science Hub
296,Ben,let’s meet up by Courtyard Benches for the capstone sync-up,Capstone Sync-Up,"March 21, 2025",18:00,Courtyard Benches
297,Carlos,"yo, what time was capstone sync-up again?",Capstone Sync-Up,"March 9, 2025",17:00,Science Hub
298,Diana,can we do group research meet a bit later? maybe 16:00?,Group Research Meet,"March 22, 2025",15:00,Innovation Lab 2
299,Carlos,just a heads up—can we move midterm review to 17:00 instead?,Midterm Review,"March 19, 2025",15:00,Courtyard Benches
300,Farhan,let’s meet up by Courtyard Benches for the assignment sprint,Assignment Sprint,"March 22, 2025",10:00,Courtyard Benches
301,Farhan,"yo, what time was brainstorm bash again?",Brainstorm Bash,"March 14, 2025",16:00,TechBlock 4
302,Grace,meeting at Library Level 3 for the group research meet right?,Group Research Meet,"March 28, 2025",19:00,Library Level 3
303,Carlos,let’s meet up by Seminar Room B for the assignment sprint,Assignment Sprint,"March 24, 2025",16:00,Seminar Room B
304,Aisha,just a heads up—can we move group research meet to 15:00 instead?,Group Research Meet,"March 14, 2025",14:00,Science Hub
305,Carlos,hey! still good for Library Level 3 at brainstorm bash?,Brainstorm Bash,"March 25, 2025",17:00,Library Level 3
306,Diana,"yo, what time was club hangout again?",Club Hangout,"March 17, 2025",19:00,BrewPoint Café
307,Haruto,meeting at BrewPoint Café for the midterm review right?,Midterm Review,"March 16, 2025",18:00,BrewPoint Café
308,Carlos,let’s meet up by BrewPoint Café for the capstone sync-up,Capstone Sync-Up,"March 29, 2025",12:00,BrewPoint Café
309,Ben,"i’ll be a lil late for the midterm review, save me a spot!",Midterm Review,"March 21, 2025",15:00,Library Level 3
310,Diana,meeting at Main Atrium for the final touch meeting right?,Final Touch Meeting,"March 30, 2025",09:00,Main Atrium
311,Ben,"i’ll be a lil late for the midterm review, save me a spot!",Midterm Review,"March 29, 2025",15:00,Library Level 3
312,Diana,meeting at Library Level 3 for the group research meet right?,Group Research Meet,"March 25, 2025",17:00,Library Level 3
313,Grace,"yo, what time was assignment sprint again?",Assignment Sprint,"March 23, 2025",13:00,Library Level 3
314,Isla,meeting at TechBlock 4 for the project check-in right?,Project Check-In,"March 26, 2025",11:00,TechBlock 4
315,Carlos,just a heads up—can we move group research meet to 14:00 instead?,Group Research Meet,"March 22, 2025",12:00,Library Level 3
316,Haruto,"yo, what time was assignment sprint again?",Assignment Sprint,"March 21, 2025",11:00,TechBlock 4
317,Carlos,can we do brainstorm bash a bit later? maybe 12:00?,Brainstorm Bash,"March 14, 2025",10:00,Science Hub
318,Diana,let’s meet up by Science Hub for the final touch meeting,Final Touch Meeting,"March 28, 2025",09:00,Science Hub
319,Aisha,hey! still good for Library Level 3 at group research meet?,Group Research Meet,"March 19, 2025",19:00,Library Level 3
320,Aisha,let’s meet up by BrewPoint Café for the midterm review,Midterm Review,"March 16, 2025",12:00,BrewPoint Café
321,Jay,just a heads up—can we move capstone sync-up to 17:00 instead?,Capstone Sync-Up,"March 26, 2025",15:00,BrewPoint Café
322,Grace,can we do midterm review a bit later? maybe 17:00?,Midterm Review,"March 26, 2025",16:00,Innovation Lab 2
323,Grace,hey! still good for Library Level 3 at assignment sprint?,Assignment Sprint,"March 19, 2025",19:00,Library Level 3
324,Isla,final touch meeting happening tmr or pushed?,Final Touch Meeting,"March 18, 2025",17:00,Main Atrium
325,Ben,assignment sprint happening tmr or pushed?,Assignment Sprint,"March 11, 2025",16:00,BrewPoint Café
326,Carlos,can we do study jam a bit later? maybe 17:00?,Study Jam,"March 27, 2025",15:00,Seminar Room B
327,Farhan,"i’ll be a lil late for the club hangout, save me a spot!",Club Hangout,"March 10, 2025",10:00,Courtyard Benches
328,Carlos,let’s meet up by Science Hub for the club hangout,Club Hangout,"March 11, 2025",15:00,Science Hub
329,Aisha,is TechBlock 4 still on at project check-in or changed?,Project Check-In,"March 13, 2025",12:00,TechBlock 4
330,Isla,"i’ll be a lil late for the assignment sprint, save me a spot!",Assignment Sprint,"March 8, 2025",16:00,Courtyard Benches
331,Carlos,just a heads up—can we move project check-in to 17:00 instead?,Project Check-In,"March 12, 2025",16:00,Science Hub
332,Isla,is Main Atrium still on at capstone sync-up or changed?,Capstone Sync-Up,"March 28, 2025",10:00,Main Atrium
333,Jay,meeting at TechBlock 4 for the final touch meeting right?,Final Touch Meeting,"March 24, 2025",16:00,TechBlock 4
334,Carlos,is Courtyard Benches still on at final touch meeting or changed?,Final Touch Meeting,"March 20, 2025",11:00,Courtyard Benches
335,Diana,just a heads up—can we move study jam to 15:00 instead?,Study Jam,"March 19, 2025",14:00,Innovation Lab 2
336,Haruto,just a heads up—can we move study jam to 13:00 instead?,Study Jam,"March 14, 2025",12:00,Seminar Room B
337,Isla,we still on for the project check-in tmr?,Project Check-In,"March 16, 2025",11:00,Library Level 3
338,Ben,final touch meeting happening tmr or pushed?,Final Touch Meeting,"March 9, 2025",12:00,Innovation Lab 2
339,Elena,is TechBlock 4 still on at assignment sprint or changed?,Assignment Sprint,"March 22, 2025",11:00,TechBlock 4
340,Haruto,"yo, what time was project check-in again?",Project Check-In,"March 15, 2025",20:00,Seminar Room B
341,Grace,hey! still good for Library Level 3 at midterm review?,Midterm Review,"March 22, 2025",11:00,Library Level 3
342,Grace,"yo, what time was assignment sprint again?",Assignment Sprint,"March 18, 2025",10:00,TechBlock 4
343,Carlos,can we do midterm review a bit later? maybe 18:00?,Midterm Review,"March 21, 2025",16:00,Innovation Lab 2
344,Aisha,let’s meet up by TechBlock 4 for the project check-in,Project Check-In,"March 25, 2025",20:00,TechBlock 4
345,Jay,let’s meet up by Main Atrium for the capstone sync-up,Capstone Sync-Up,"March 22, 2025",13:00,Main Atrium
346,Elena,meeting at Main Atrium for the capstone sync-up right?,Capstone Sync-Up,"March 18, 2025",09:00,Main Atrium
347,Aisha,"i’ll be a lil late for the final touch meeting, save me a spot!",Final Touch Meeting,"March 23, 2025",13:00,Innovation Lab 2
348,Diana,can we do midterm review a bit later? maybe 9:00?,Midterm Review,"March 23, 2025",20:00,BrewPoint Café
349,Carlos,let’s meet up by Science Hub for the brainstorm bash,Brainstorm Bash,"March 23, 2025",20:00,Science Hub
350,Isla,is Courtyard Benches still on at project check-in or changed?,Project Check-In,"March 23, 2025",10:00,Courtyard Benches
351,Aisha,"i’ll be a lil late for the project check-in, save me a spot!",Project Check-In,"March 13, 2025",13:00,TechBlock 4
352,Elena,hey! still good for Main Atrium at final touch meeting?,Final Touch Meeting,"March 9, 2025",12:00,Main Atrium
353,Farhan,"yo, what time was project check-in again?",Project Check-In,"March 8, 2025",09:00,Main Atrium
354,Haruto,is BrewPoint Café still on at assignment sprint or changed?,Assignment Sprint,"March 31, 2025",19:00,BrewPoint Café
355,Diana,"i’ll be a lil late for the group research meet, save me a spot!",Group Research Meet,"March 19, 2025",15:00,BrewPoint Café
356,Elena,hey! still good for BrewPoint Café at brainstorm bash?,Brainstorm Bash,"March 17, 2025",10:00,BrewPoint Café
357,Ben,midterm review happening tmr or pushed?,Midterm Review,"March 22, 2025",20:00,Main Atrium
358,Jay,can we do midterm review a bit later? maybe 20:00?,Midterm Review,"March 31, 2025",18:00,Library Level 3
359,Grace,let’s meet up by Seminar Room B for the midterm review,Midterm Review,"March 12, 2025",15:00,Seminar Room B
360,Aisha,"yo, what time was study jam again?",Study Jam,"March 19, 2025",13:00,Library Level 3
361,Carlos,we still on for the club hangout tmr?,Club Hangout,"March 15, 2025",12:00,BrewPoint Café
362,Carlos,just a heads up—can we move midterm review to 17:00 instead?,Midterm Review,"March 28, 2025",16:00,Main Atrium
363,Jay,"i’ll be a lil late for the club hangout, save me a spot!",Club Hangout,"March 17, 2025",09:00,Courtyard Benches
364,Elena,just a heads up—can we move club hangout to 17:00 instead?,Club Hangout,"March 12, 2025",15:00,Main Atrium
365,Ben,let’s meet up by Main Atrium for the assignment sprint,Assignment Sprint,"March 25, 2025",15:00,Main Atrium
366,Carlos,we still on for the study jam tmr?,Study Jam,"March 10, 2025",19:00,TechBlock 4
367,Elena,we still on for the midterm review tmr?,Midterm Review,"March 8, 2025",11:00,Library Level 3
368,Grace,let’s meet up by Innovation Lab 2 for the midterm review,Midterm Review,"March 15, 2025",14:00,Innovation Lab 2
369,Ben,is TechBlock 4 still on at assignment sprint or changed?,Assignment Sprint,"March 31, 2025",13:00,TechBlock 4
370,Haruto,can we do assignment sprint a bit later? maybe 20:00?,Assignment Sprint,"March 31, 2025",19:00,Library Level 3
371,Isla,"yo, what time was capstone sync-up again?",Capstone Sync-Up,"March 29, 2025",15:00,Seminar Room B
372,Ben,brainstorm bash happening tmr or pushed?,Brainstorm Bash,"March 31, 2025",14:00,TechBlock 4
373,Jay,meeting at Innovation Lab 2 for the capstone sync-up right?,Capstone Sync-Up,"March 19, 2025",17:00,Innovation Lab 2
374,Elena,we still on for the final touch meeting tmr?,Final Touch Meeting,"March 10, 2025",15:00,Innovation Lab 2
375,Carlos,"yo, what time was club hangout again?",Club Hangout,"March 17, 2025",13:00,TechBlock 4
376,Aisha,"i’ll be a lil late for the study jam, save me a spot!",Study Jam,"March 9, 2025",13:00,TechBlock 4
377,Carlos,can we do midterm review a bit later? maybe 9:00?,Midterm Review,"March 22, 2025",20:00,TechBlock 4
378,Jay,"yo, what time was project check-in again?",Project Check-In,"March 9, 2025",15:00,Science Hub
379,Ben,is BrewPoint Café still on at capstone sync-up or changed?,Capstone Sync-Up,"March 21, 2025",16:00,BrewPoint Café
380,Ben,just a heads up—can we move midterm review to 17:00 instead?,Midterm Review,"March 20, 2025",16:00,Seminar Room B
381,Jay,"yo, what time was capstone sync-up again?",Capstone Sync-Up,"March 8, 2025",15:00,TechBlock 4
382,Farhan,meeting at Library Level 3 for the club hangout right?,Club Hangout,"March 29, 2025",17:00,Library Level 3
383,Ben,let’s meet up by Science Hub for the club hangout,Club Hangout,"March 13, 2025",12:00,Science Hub
384,Jay,"i’ll be a lil late for the club hangout, save me a spot!",Club Hangout,"March 28, 2025",16:00,BrewPoint Café
385,Farhan,meeting at BrewPoint Café for the project check-in right?,Project Check-In,"March 14, 2025",12:00,BrewPoint Café
386,Elena,is Seminar Room B still on at club hangout or changed?,Club Hangout,"March 18, 2025",20:00,Seminar Room B
387,Isla,group research meet happening tmr or pushed?,Group Research Meet,"March 10, 2025",09:00,Seminar Room B
388,Grace,"i’ll be a lil late for the club hangout, save me a spot!",Club Hangout,"March 14, 2025",18:00,Seminar Room B
389,Farhan,"yo, what time was club hangout again?",Club Hangout,"March 21, 2025",16:00,BrewPoint Café
390,Jay,"i’ll be a lil late for the assignment sprint, save me a spot!",Assignment Sprint,"March 8, 2025",17:00,Seminar Room B
391,Jay,assignment sprint happening tmr or pushed?,Assignment Sprint,"March 9, 2025",15:00,TechBlock 4
392,Diana,can we do club hangout a bit later? maybe 17:00?,Club Hangout,"March 8, 2025",15:00,Courtyard Benches
393,Aisha,we still on for the capstone sync-up tmr?,Capstone Sync-Up,"March 17, 2025",20:00,Courtyard Benches
394,Carlos,we still on for the study jam tmr?,Study Jam,"March 8, 2025",15:00,BrewPoint Café
395,Haruto,is TechBlock 4 still on at assignment sprint or changed?,Assignment Sprint,"March 31, 2025",18:00,TechBlock 4
396,Ben,"i’ll be a lil late for the study jam, save me a spot!",Study Jam,"March 24, 2025",15:00,Science Hub
397,Ben,can we do capstone sync-up a bit later? maybe 17:00?,Capstone Sync-Up,"March 21, 2025",16:00,Innovation Lab 2
398,Carlos,hey! still good for Innovation Lab 2 at study jam?,Study Jam,"March 12, 2025",12:00,Innovation Lab 2
399,Grace,let’s meet up by Seminar Room B for the capstone sync-up,Capstone Sync-Up,"March 18, 2025",15:00,Seminar Room B
400,Ben,let’s meet up by Innovation Lab 2 for the study jam,Study Jam,"March 18, 2025",15:00,Innovation Lab 2
401,Ben,just a heads up—can we move group research meet to 14:00 instead?,Group Research Meet,"March 18, 2025",12:00,BrewPoint Café
402,Grace,"yo, what time was midterm review again?",Midterm Review,"March 24, 2025",20:00,BrewPoint Café
403,Aisha,can we do final touch meeting a bit later? maybe 12:00?,Final Touch Meeting,"March 26, 2025",10:00,TechBlock 4
404,Grace,"yo, what time was group research meet again?",Group Research Meet,"March 22, 2025",09:00,Science Hub
405,Aisha,we still on for the assignment sprint tmr?,Assignment Sprint,"March 21, 2025",13:00,Library Level 3
406,Isla,we still on for the brainstorm bash tmr?,Brainstorm Bash,"March 14, 2025",17:00,Science Hub
407,Aisha,is TechBlock 4 still on at brainstorm bash or changed?,Brainstorm Bash,"March 18, 2025",17:00,TechBlock 4
408,Elena,can we do club hangout a bit later? maybe 15:00?,Club Hangout,"March 27, 2025",13:00,TechBlock 4
409,Isla,study jam happening tmr or pushed?,Study Jam,"March 15, 2025",16:00,TechBlock 4
410,Elena,meeting at TechBlock 4 for the final touch meeting right?,Final Touch Meeting,"March 11, 2025",16:00,TechBlock 4
411,Diana,is Library Level 3 still on at project check-in or changed?,Project Check-In,"March 11, 2025",18:00,Library Level 3
412,Elena,hey! still good for Courtyard Benches at group research meet?,Group Research Meet,"March 9, 2025",14:00,Courtyard Benches
413,Grace,we still on for the group research meet tmr?,Group Research Meet,"March 19, 2025",18:00,Main Atrium
414,Grace,hey! still good for Library Level 3 at group research meet?,Group Research Meet,"March 8, 2025",16:00,Library Level 3
415,Farhan,can we do assignment sprint a bit later? maybe 17:00?,Assignment Sprint,"March 12, 2025",16:00,TechBlock 4
416,Grace,"yo, what time was midterm review again?",Midterm Review,"March 10, 2025",10:00,Innovation Lab 2
417,Diana,"i’ll be a lil late for the club hangout, save me a spot!",Club Hangout,"March 10, 2025",19:00,Innovation Lab 2
418,Ben,can we do project check-in a bit later? maybe 17:00?,Project Check-In,"March 27, 2025",15:00,TechBlock 4
419,Diana,just a heads up—can we move midterm review to 10:00 instead?,Midterm Review,"March 21, 2025",09:00,TechBlock 4
420,Aisha,meeting at TechBlock 4 for the study jam right?,Study Jam,"March 13, 2025",20:00,TechBlock 4
421,Aisha,"i’ll be a lil late for the assignment sprint, save me a spot!",Assignment Sprint,"March 10, 2025",11:00,TechBlock 4
422,Jay,is Science Hub still on at final touch meeting or changed?,Final Touch Meeting,"March 21, 2025",12:00,Science Hub
423,Aisha,we still on for the midterm review tmr?,Midterm Review,"March 15, 2025",14:00,Library Level 3
424,Grace,capstone sync-up happening tmr or pushed?,Capstone Sync-Up,"March 8, 2025",19:00,Courtyard Benches
425,Diana,can we do midterm review a bit later? maybe 17:00?,Midterm Review,"March 19, 2025",16:00,Seminar Room B
426,Aisha,let’s meet up by Main Atrium for the capstone sync-up,Capstone Sync-Up,"March 22, 2025",17:00,Main Atrium
427,Haruto,we still on for the final touch meeting tmr?,Final Touch Meeting,"March 14, 2025",11:00,Seminar Room B
428,Aisha,"yo, what time was group research meet again?",Group Research Meet,"March 12, 2025",09:00,Main Atrium
429,Grace,can we do brainstorm bash a bit later? maybe 13:00?,Brainstorm Bash,"March 8, 2025",11:00,Science Hub
430,Jay,study jam happening tmr or pushed?,Study Jam,"March 17, 2025",09:00,TechBlock 4
431,Grace,group research meet happening tmr or pushed?,Group Research Meet,"March 26, 2025",12:00,Courtyard Benches
432,Grace,let’s meet up by Courtyard Benches for the midterm review,Midterm Review,"March 15, 2025",13:00,Courtyard Benches
433,Haruto,we still on for the midterm review tmr?,Midterm Review,"March 15, 2025",09:00,BrewPoint Café
434,Isla,we still on for the final touch meeting tmr?,Final Touch Meeting,"March 28, 2025",15:00,Courtyard Benches
435,Ben,can we do midterm review a bit later? maybe 17:00?,Midterm Review,"March 29, 2025",16:00,Science Hub
436,Diana,"yo, what time was project check-in again?",Project Check-In,"March 13, 2025",16:00,Innovation Lab 2
437,Diana,just a heads up—can we move club hangout to 10:00 instead?,Club Hangout,"March 22, 2025",09:00,Main Atrium
438,Diana,let’s meet up by Courtyard Benches for the study jam,Study Jam,"March 17, 2025",12:00,Courtyard Benches
439,Aisha,is BrewPoint Café still on at brainstorm bash or changed?,Brainstorm Bash,"March 26, 2025",18:00,BrewPoint Café
440,Carlos,meeting at BrewPoint Café for the assignment sprint right?,Assignment Sprint,"March 27, 2025",18:00,BrewPoint Café
441,Elena,let’s meet up by Innovation Lab 2 for the midterm review,Midterm Review,"March 26, 2025",10:00,Innovation Lab 2
442,Ben,"yo, what time was assignment sprint again?",Assignment Sprint,"March 9, 2025",16:00,Seminar Room B
443,Haruto,is BrewPoint Café still on at capstone sync-up or changed?,Capstone Sync-Up,"March 13, 2025",13:00,BrewPoint Café
444,Jay,can we do assignment sprint a bit later? maybe 20:00?,Assignment Sprint,"March 8, 2025",19:00,Science Hub
445,Haruto,can we do study jam a bit later? maybe 13:00?,Study Jam,"March 18, 2025",11:00,Seminar Room B
446,Farhan,let’s meet up by BrewPoint Café for the project check-in,Project Check-In,"March 15, 2025",18:00,BrewPoint Café
447,Elena,we still on for the assignment sprint tmr?,Assignment Sprint,"March 24, 2025",16:00,Science Hub
448,Haruto,"i’ll be a lil late for the brainstorm bash, save me a spot!",Brainstorm Bash,"March 30, 2025",11:00,Innovation Lab 2
449,Grace,"yo, what time was final touch meeting again?",Final Touch Meeting,"March 15, 2025",17:00,BrewPoint Café
450,Diana,is Innovation Lab 2 still on at final touch meeting or changed?,Final Touch Meeting,"March 13, 2025",18:00,Innovation Lab 2
451,Aisha,we still on for the club hangout tmr?,Club Hangout,"March 11, 2025",11:00,Courtyard Benches
452,Diana,we still on for the study jam tmr?,Study Jam,"March 16, 2025",09:00,Main Atrium
453,Elena,"yo, what time was assignment sprint again?",Assignment Sprint,"March 13, 2025",14:00,Main Atrium
454,Aisha,we still on for the study jam tmr?,Study Jam,"March 31, 2025",10:00,Science Hub
455,Diana,can we do group research meet a bit later? maybe 14:00?,Group Research Meet,"March 17, 2025",13:00,Seminar Room B
456,Ben,meeting at Innovation Lab 2 for the final touch meeting right?,Final Touch Meeting,"March 22, 2025",18:00,Innovation Lab 2
457,Jay,just a heads up—can we move final touch meeting to 15:00 instead?,Final Touch Meeting,"March 20, 2025",14:00,Courtyard Benches
458,Elena,is Seminar Room B still on at project check-in or changed?,Project Check-In,"March 28, 2025",20:00,Seminar Room B
459,Elena,project check-in happening tmr or pushed?,Project Check-In,"March 22, 2025",16:00,Library Level 3
460,Carlos,can we do group research meet a bit later? maybe 12:00?,Group Research Meet,"March 15, 2025",10:00,Science Hub
461,Aisha,is Science Hub still on at club hangout or changed?,Club Hangout,"March 20, 2025",16:00,Science Hub
462,Jay,is BrewPoint Café still on at midterm review or changed?,Midterm Review,"March 29, 2025",20:00,BrewPoint Café
463,Elena,club hangout happening tmr or pushed?,Club Hangout,"March 8, 2025",17:00,Innovation Lab 2
464,Diana,let’s meet up by Seminar Room B for the brainstorm bash,Brainstorm Bash,"March 19, 2025",17:00,Seminar Room B
465,Isla,we still on for the project check-in tmr?,Project Check-In,"March 8, 2025",13:00,Main Atrium
466,Grace,just a heads up—can we move final touch meeting to 1:00 instead?,Final Touch Meeting,"March 27, 2025",20:00,Library Level 3
467,Haruto,we still on for the midterm review tmr?,Midterm Review,"March 27, 2025",12:00,Courtyard Benches
468,Aisha,just a heads up—can we move assignment sprint to 15:00 instead?,Assignment Sprint,"March 8, 2025",14:00,Science Hub
469,Farhan,is Seminar Room B still on at capstone sync-up or changed?,Capstone Sync-Up,"March 24, 2025",14:00,Seminar Room B
470,Diana,"i’ll be a lil late for the assignment sprint, save me a spot!",Assignment Sprint,"March 14, 2025",13:00,Main Atrium
471,Aisha,brainstorm bash happening tmr or pushed?,Brainstorm Bash,"March 30, 2025",20:00,TechBlock 4
472,Elena,"i’ll be a lil late for the brainstorm bash, save me a spot!",Brainstorm Bash,"March 19, 2025",18:00,Innovation Lab 2
473,Haruto,"i’ll be a lil late for the group research meet, save me a spot!",Group Research Meet,"March 15, 2025",13:00,TechBlock 4
474,Isla,group research meet happening tmr or pushed?,Group Research Meet,"March 10, 2025",20:00,Courtyard Benches
475,Carlos,we still on for the midterm review tmr?,Midterm Review,"March 11, 2025",19:00,Courtyard Benches
476,Isla,midterm review happening tmr or pushed?,Midterm Review,"March 31, 2025",15:00,Library Level 3
477,Diana,"yo, what time was study jam again?",Study Jam,"March 26, 2025",17:00,BrewPoint Café
478,Aisha,hey! still good for TechBlock 4 at project check-in?,Project Check-In,"March 21, 2025",12:00,TechBlock 4
479,Jay,project check-in happening tmr or pushed?,Project Check-In,"March 31, 2025",11:00,Library Level 3
480,Farhan,"yo, what time was midterm review again?",Midterm Review,"March 13, 2025",20:00,Seminar Room B
481,Diana,study jam happening tmr or pushed?,Study Jam,"March 24, 2025",15:00,Courtyard Benches
482,Grace,"yo, what time was club hangout again?",Club Hangout,"March 17, 2025",18:00,Science Hub
483,Elena,is Seminar Room B still on at assignment sprint or changed?,Assignment Sprint,"March 16, 2025",16:00,Seminar Room B
484,Diana,hey! still good for Main Atrium at brainstorm bash?,Brainstorm Bash,"March 22, 2025",10:00,Main Atrium
485,Ben,"i’ll be a lil late for the midterm review, save me a spot!",Midterm Review,"March 27, 2025",12:00,Library Level 3
486,Farhan,can we do assignment sprint a bit later? maybe 13:00?,Assignment Sprint,"March 10, 2025",11:00,Library Level 3
487,Carlos,is BrewPoint Café still on at final touch meeting or changed?,Final Touch Meeting,"March 31, 2025",12:00,BrewPoint Café
488,Isla,"yo, what time was capstone sync-up again?",Capstone Sync-Up,"March 31, 2025",17:00,Main Atrium
489,Grace,hey! still good for Seminar Room B at study jam?,Study Jam,"March 31, 2025",10:00,Seminar Room B
